strain,is_good,classification_reason,delta_od,max_od,initial_od,snr,time_to_max,r_squared,a_err_pct,mu_err_pct,truncation_time,points_used,gompertz_a,gompertz_a_err,gompertz_mu,gompertz_mu_err,gompertz_lambda,gompertz_lambda_err,fit_r_squared,fit_rmse,fit_mae,group
LB-LCY4,True,GOOD: Fit quality passed,1.3891,1.3891,,,,0.9983419026801634,0.3430441891215321,1.336510488781443,23.49926194444444,95,1.3515915290731786,0.0046365562011444,0.165942253919959,0.0022178356289605,4.2198823017862,0.0551657646099746,0.9983419026801634,0.021388076063105,0.0178587801894621,Group1
LB-BIF6,True,GOOD: Fit quality passed,1.833833333333333,1.8986999999999996,,,,0.9971534557238833,0.356430963252218,1.3911950261614734,20.49934277777778,83,1.8553086764609688,0.0066128945868118,0.2131945205085519,0.0029659515653637,0.3228934389007227,0.061496563445053,0.9971534557238833,0.0301840699447042,0.0224225318816676,Group1
LB-BIF9,True,GOOD: Fit quality passed,1.8006400000000002,1.8225333333333336,,,,0.9771737867210246,1.0001449989427835,4.76805579756798,16.749445833333333,68,1.6693576502044558,0.0166959970529886,0.2886851451139317,0.0137646687983223,0.5621848211782645,0.1434151399306099,0.9771737867210246,0.0810537091493236,0.0695849717883281,Group1
LB-FLUPC8,True,GOOD: Fit quality passed,1.525553333333333,1.5276,,,,0.9980663390779952,0.2668859427965792,1.3103996724603102,23.49926194444444,95,1.476425643555089,0.0039403724984924,0.2017137522187151,0.0026432563483814,2.1519649627175625,0.0500234609710303,0.9980663390779952,0.0227755071542527,0.0181801526571474,Group1
H2O-BIF2,False,BAD: Fit failed - Each lower bound must be strictly less than each upper bound.,0.0,0.0,,,,0.0,inf,inf,2.499836111111111,11,,,,,,,,,,Group1
H2O-BiF7,False,BAD: Fit failed - Each lower bound must be strictly less than each upper bound.,0.0,0.0,,,,0.0,inf,inf,2.499836111111111,11,,,,,,,,,,Group1
H2O-LCY4,False,BAD: Fit failed - Each lower bound must be strictly less than each upper bound.,0.0,0.0,,,,0.0,inf,inf,2.499836111111111,11,,,,,,,,,,Group1
H2O-BIF6,False,BAD: Fit failed - Each lower bound must be strictly less than each upper bound.,0.0,0.0,,,,0.0,inf,inf,2.499836111111111,11,,,,,,,,,,Group1
H2O-BIF9,False,BAD: Fit failed - Each lower bound must be strictly less than each upper bound.,0.0,0.0,,,,0.0,inf,inf,2.499836111111111,11,,,,,,,,,,Group1
H2O-FLUPC8,False,BAD: Fit failed - Each lower bound must be strictly less than each upper bound.,0.0003733333333332,0.0004666666666666,,,,0.0,inf,inf,2.499836111111111,11,,,,,,,,,,Group1
Bifenthrin-BIF2,False,BAD: Fit failed - Initial guess is outside of provided bounds,0.0041999999999999,0.0041999999999999,,,,0.0,inf,inf,23.749256666666664,92,,,,,,,,,,Group1
Bifenthrin-BiF7,False,BAD: Fit failed - Each lower bound must be strictly less than each upper bound.,0.0,0.0,,,,0.0,inf,inf,2.499836111111111,11,,,,,,,,,,Group1
Bifenthrin-BIF6,False,BAD: Low R²: 0.908 < 0.95,0.0492333333333333,0.0492333333333333,,,,0.907989180122486,9.5119694689803,6.32002501792564,22.749285277777776,92,0.0552825302345955,0.0052584573975945,0.0026712154488342,0.000168821484649,3.100297972463865,0.5154181797669237,0.907989180122486,0.0046004016686886,0.0036872738519637,Group1
Bifenthrin-BIF9,False,BAD: Fit failed - Each lower bound must be strictly less than each upper bound.,0.0,0.0,,,,0.0,inf,inf,2.499836111111111,11,,,,,,,,,,Group1
LAMBDACYHALOTHRIN-LCY1,True,GOOD: Fit quality passed,0.0462666666666666,0.0462666666666666,,,,0.9925047663867528,0.4714031758368448,7.440645524678559,84.9976561111111,321,0.0381268611072518,0.0001797312341064,0.1003079783559767,0.0074635611024395,76.71162713338201,0.0159345545783066,0.9925047663867528,0.0009964999768859,0.000288605081836,Group2
LAMBDACYHALOTHRINANDLB-LCY1,True,GOOD: Fit quality passed,1.6870333333333334,1.6870333333333334,,,,0.9986005227135264,0.3269600778026094,1.153663890769876,23.74932111111111,96,1.631136532301197,0.0053331652750787,0.1789469019681449,0.0020644457916578,3.7803580659996103,0.0525415547141591,0.9986005227135264,0.0230321470418161,0.019680504198442,Group2
MALATHIONANDLB-MAL8,True,GOOD: Fit quality passed,1.5631266666666668,1.6162,,,,0.9981487760039116,0.4890447772565381,1.7619992153826318,12.749620833333331,52,1.6351101799181855,0.0079964209372798,0.3323798640368772,0.0058565305964196,1.856629975182839,0.0434412041717677,0.9981487760039116,0.0256770981107694,0.02026585959588,Group2
MALATHIONANDLB-MAL10,True,GOOD: Fit quality passed,1.4515333333333331,1.4645666666666666,,,,0.9985031255635024,0.493217943893917,1.6148892551598342,14.999558333333336,61,1.4885208562816423,0.0073416519617844,0.2652171016533672,0.0042829624774465,3.411241766455846,0.0447782509425935,0.9985031255635024,0.0224576256355349,0.0193032744525811,Group2
MALATHIONANDLB-MAL1,True,GOOD: Fit quality passed,1.6468199999999995,1.6706666666666663,,,,0.9989803747397652,0.3829208172486534,1.4527946065539707,12.499630555555555,51,1.6839664527467657,0.006448258103051,0.3856524666495513,0.005602738235527,2.4420099163954636,0.0320287562522056,0.9989803747397652,0.0207808525821225,0.0161838988665103,Group2
MALATHIONANDLB-MAL5,True,GOOD: Fit quality passed,1.5154333333333332,1.521,,,,0.9987535645254236,0.4462370791616336,1.5293808009572574,13.499602222222222,55,1.5433324687390535,0.0068869217302542,0.3069208115749701,0.0046939879663697,2.777098141140679,0.0382583021107763,0.9987535645254236,0.0210486530975054,0.0167273575206916,Group2
MALATHIONANDLB-MAL4,True,GOOD: Fit quality passed,1.3794133333333334,1.4016333333333333,,,,0.9974822948585824,0.6703758469406803,1.9375664003682056,15.24955138888889,62,1.4526691020241131,0.0097383427959397,0.2269841979532059,0.0043979695536865,3.106341093025236,0.0600754124733008,0.9974822948585824,0.027225818261888,0.0239295654436825,Group2
MALATHION-MAL8,False,BAD: Low R²: -0.323 < 0.95; High A error: 46.2% > 20.0%,0.0936999999999999,0.1588999999999999,,,,-0.3232628584315786,46.215249873000886,13.943317516722493,63.498235,237,0.4282999999999997,0.1979399152060626,0.0027659503165218,0.0003856652349874,1.5489639539851382e-15,7.302473518651178,-0.3232628584315786,0.0256827659229051,0.0230673618569774,Group2
MALATHION-MAL10,False,BAD: Low R²: -25.138 < 0.95; High A error: 317.6% > 20.0%; High mu error: 113.8% > 20.0%,0.0008466666666667,0.0256333333333333,,,,-25.13756174732315,317.643002897925,113.79411973535566,9.249716388888888,38,0.0768999999999998,0.2442674692285039,0.0030445892673321,0.0034645635563177,1.6533937840652994e-18,9.086122673004738,-25.13756174732315,0.0100921732078569,0.0083122408202732,Group2
MALATHION-MAL1,False,BAD: Low R²: 0.919 < 0.95,0.03462,0.0505333333333333,,,,0.9186122377694136,18.515564732959092,7.643213798055418,76.24789444444444,306,0.1515999999999931,0.0280695961351647,0.001,7.643213798055419e-05,20.840988425493165,3.544605441212633,0.9186122377694136,0.0040755720102349,0.0032748165104694,Group2
MALATHION-MAL5,False,BAD: Low R²: -3.005 < 0.95; High A error: 1283.7% > 20.0%; High mu error: 606.1% > 20.0%,0.0028066666666666,0.0295666666666666,,,,-3.0053952402181983,1283.6997058553914,606.0592540173437,6.249803055555556,26,0.0886999999985253,1.1386416390748026,0.0033839034117877,0.020508459774148,1.022148371344275e-09,42.83263464592604,-3.0053952402181983,0.01249598609584,0.0095564733963212,Group2
MALATHION-MAL4,True,GOOD: Fit quality passed,0.0499666666666666,0.0527999999999999,,,,0.9825311057854712,10.640402389332952,4.800150515407914,75.99790277777778,305,0.1583999999999993,0.0168543973847033,0.0010555668975463,5.0668799873044213e-05,26.25480092922855,2.091003950783854,0.9825311057854712,0.0019984132393811,0.0015906612130088,Group2
LB-MAL8,True,GOOD: Fit quality passed,1.6526466666666666,1.6983,,,,0.9940186349986236,0.4667289117420197,3.1743070784274496,16.999503333333333,69,1.5081880301419086,0.0070391495801047,0.4215873913513046,0.013382478405422,1.9024867771378793,0.0608934495445668,0.9940186349986236,0.0410308479123504,0.0306117849025212,Group2
LB-MAL10,True,GOOD: Fit quality passed,1.72822,1.7628666666666666,,,,0.9799503751626224,0.3410706117117824,3.3661822411576816,44.99874277777777,181,1.4968731513448494,0.0051053944138413,0.2522750686338234,0.0084920385592201,1.8774809520118527,0.108861033146152,0.9799503751626224,0.0579244209451946,0.0484567476356611,Group2
LB-MAL1,True,GOOD: Fit quality passed,1.707853333333333,1.7079666666666664,,,,0.9979941989204733,0.3704813353008724,2.110189160799598,15.749540277777776,64,1.5348118173037844,0.0056861913151026,0.4135988211704522,0.0087277174935337,3.1321397549606345,0.0414398726654982,0.9979941989204733,0.0276042811545601,0.0210433574945217,Group2
LB-MAL5,True,GOOD: Fit quality passed,1.7867400000000002,1.8013666666666668,,,,0.9960597937816288,0.1828482371776708,1.799599310537402,36.24898305555555,146,1.573982806617174,0.0028779998153791,0.334167958450274,0.006013684276308,2.1914239850838855,0.0461954386917947,0.9960597937816288,0.0289515850773335,0.0236486297413931,Group2
LB-MAL4,True,GOOD: Fit quality passed,1.5053799999999995,1.512133333333333,,,,0.999432079148642,0.2276860581478956,0.7879619514848668,18.74945527777778,76,1.4609897722925056,0.0033264700224767,0.193632435686726,0.0015257499189448,2.4812859479376552,0.0296196737492677,0.999432079148642,0.0127041209403014,0.0094444133265621,Group2
LB-LCY1,True,GOOD: Fit quality passed,1.77852,1.7877666666666667,,,,0.9936212988485336,0.3277992691285817,2.2181370485227365,33.749050833333335,136,1.535149420907594,0.0050322085817667,0.2112749749936914,0.0046863684945922,3.1578464208239594,0.0863985145071415,0.9936212988485336,0.0420330043892795,0.0336030305036312,Group2
H2O-MAL8,True,GOOD: Fit quality passed,0.121,0.121,,,,0.9884536309080229,0.5912394095997969,2.1260879164679967,41.49884,165,0.1093069568907027,0.000646265806572,0.0062664399076055,0.0001332300216683,2.840501504297618,0.1857919302202366,0.9884536309080229,0.0039299205525229,0.0031669643267362,Group2
H2O-MAL10,False,BAD: Low R²: 0.363 < 0.95,0.0109666666666666,0.0109666666666666,,,,0.3632217568420314,2.6908035950835503,16.895825245012826,99.49725944444444,379,0.01,0.0002690803595083,0.001,0.0001689582524501,61.12816171496269,0.9011166944810431,0.3632217568420314,0.0024434436168481,0.0017125931725715,Group2
H2O-MAL1,True,GOOD: Fit quality passed,0.0329666666666666,0.0329666666666666,,,,0.9678669357189598,0.8048152072577441,3.4316581032483864,99.49725944444444,379,0.0258419019025764,0.0002079795563565,0.001,3.431658103248387e-05,33.17190297045344,0.454831105648864,0.9678669357189598,0.0019310083918496,0.0013016508678757,Group2
H2O-MAL5,False,BAD: Fit failed - Each lower bound must be strictly less than each upper bound.,0.0005999999999999,0.0005999999999999,,,,0.0,inf,inf,99.74725277777776,380,,,,,,,,,,Group2
H2O-MAL4,False,BAD: Fit failed - Each lower bound must be strictly less than each upper bound.,0.0,0.0,,,,0.0,inf,inf,2.4999030555555555,11,,,,,,,,,,Group2
H2O-LCY1,False,BAD: Fit failed - Each lower bound must be strictly less than each upper bound.,0.0,0.0,,,,0.0,inf,inf,2.4999030555555555,11,,,,,,,,,,Group2
IMIDACLOPRID-IMID2,True,GOOD: Fit quality passed,0.2686666666666667,0.2686666666666667,,,,0.9949450453279416,0.4644512819925644,1.2297954690761737,52.74852888888889,198,0.2467590461298785,0.0011460755531828,0.0095769323750582,0.0001177766804249,6.469955490147131,0.1512663826411474,0.9949450453279416,0.0057408953384171,0.0047582747754821,Group3
IMIDACLOPRID-IMID3,False,BAD: Low R²: -2.159 < 0.95; High mu error: 38.8% > 20.0%,0.0078666666666667,0.0393,,,,-2.1589899247447497,1.5626296150069008,38.78697240940651,14.749565555555556,60,0.0358238076858105,0.0005597934281215,0.1522887117877096,0.0590681806237395,1.643177248965747e-17,0.0572260728762332,-2.1589899247447497,0.0041461425171808,0.0020860395423598,Group3
IMIDACLOPRID-IMID5,False,BAD: Fit failed - Initial guess is outside of provided bounds,0.0028199999999999,0.0049333333333333,,,,0.0,inf,inf,10.499682222222225,43,,,,,,,,,,Group3
IMIDACLOPRID-IMID8,True,GOOD: Fit quality passed,0.1194999999999999,0.1194999999999999,,,,0.9959238545333754,0.3127477029449578,1.5646182712363252,35.24901083333333,142,0.1048734632744898,0.0003279893473897,0.0097634220481952,0.0001527602852639,3.2655026795591247,0.087829794556439,0.9959238545333754,0.0023606455460766,0.0019141138374559,Group3
LAMBDACYHALOTHRIN-LCY01,False,BAD: Fit failed - Each lower bound must be strictly less than each upper bound.,0.0,0.0,,,,0.0,inf,inf,2.499899444444445,11,,,,,,,,,,Group3
LAMBDACYHALOTHRIN-LCY2,False,BAD: Low R²: -0.074 < 0.95; High mu error: 349.9% > 20.0%,0.0095466666666666,0.0253999999999999,,,,-0.0737985613442349,12.09856810281547,349.8842628815911,6.499790833333333,27,0.0140710400111624,0.0017023943585249,0.0843764996849065,0.2952200939678233,3.360813291061903e-15,0.2066178755913378,-0.0737985613442349,0.0080137963085442,0.0067504833704508,Group3
LAMBDACYHALOTHRINANDLB-LCY01,True,GOOD: Fit quality passed,1.8220399999999997,1.842133333333333,,,,0.9998567748947418,0.113869778303156,0.3691519962039449,22.999340277777776,93,1.7776675106739352,0.0020242260533716,0.1917074006387811,0.0007076916963287,3.9076925879095983,0.0168861103398382,0.9998567748947418,0.007930835815903,0.005404412640945,Group3
LAMBDACYHALOTHRINANDLB-LCY2,True,GOOD: Fit quality passed,1.3417066666666673,1.3987000000000005,,,,0.9863984316774508,0.5238313289713514,2.1029319643515016,43.99876999999999,177,1.1690887515373212,0.0061240531440325,0.0652471906732858,0.0013721040285098,1.1491586090025931,0.1919969815725543,0.9863984316774508,0.0423500367007287,0.0366789716029347,Group3
LB-IMID2,True,GOOD: Fit quality passed,1.521286666666667,1.6052000000000002,,,,0.9993798488882648,0.2275602988470433,0.7351662447735074,17.999475555555556,73,1.634795996781777,0.0037201466558161,0.2000053491543287,0.001470371814724,1.279352663491367,0.0296191963171593,0.9993798488882648,0.013459366788547,0.0108816972135019,Group3
LB-IMID3,True,GOOD: Fit quality passed,1.6172266666666668,1.673366666666667,,,,0.9817995188754136,0.4397739130337368,1.8476920512830244,70.24805277777777,282,1.5535090011359802,0.006831927323627,0.0538086475693007,0.0009942181040408,2.868808217858276e-12,0.2747392976387521,0.9817995188754136,0.0611903056892018,0.0542058742143586,Group3
LB-IMID5,True,GOOD: Fit quality passed,1.68352,1.7005666666666666,,,,0.98621323710287,0.3442502195939605,1.6742487757507751,72.2479975,290,1.461426882719702,0.0050309652529677,0.0587663142590586,0.0009838942970361,1.6237915287869562,0.2173903500471622,0.98621323710287,0.0519610279203188,0.0425137555562422,Group3
LB-IMID8,True,GOOD: Fit quality passed,1.2878800000000004,1.321966666666667,,,,0.9745892843044146,0.4596625799570843,2.19090479106213,66.74815,268,1.2706183832488385,0.0058405572418506,0.0517722703146688,0.0011342811507657,2.5698523603537916e-15,0.2814534579742481,0.9745892843044146,0.0563879337033045,0.0418507585808834,Group3
LB-LCY01,True,GOOD: Fit quality passed,1.6715933333333337,1.6799333333333335,,,,0.9990716541586242,0.2033574462069571,1.030749132289957,25.499274444444445,103,1.5060947954045318,0.0030627559133905,0.2166478381909771,0.0022330957122784,4.563110445155664,0.0374992888059791,0.9990716541586242,0.0179385077948974,0.0158482041214518,Group3
LB-LCY2,True,GOOD: Fit quality passed,1.6205600000000009,1.6784666666666672,,,,0.9626660191764614,0.5476768205936222,2.552455348738768,74.24794388888888,298,1.424305718016181,0.0078005922719641,0.0511008635106559,0.0013043267239294,4.349953862937952e-17,0.3713933424497087,0.9626660191764614,0.0780912733309383,0.0689275595636337,Group3
IMIDACLOPRIDANDLB-IMID2,True,GOOD: Fit quality passed,1.5998266666666665,1.6947333333333332,,,,0.9998789513304168,0.0758891871065226,0.2654193625636629,23.749322222222226,96,1.633355655776764,0.0012395403297273,0.1516346605843312,0.0004024677495485,0.6563898122009613,0.0142781719721578,0.9998789513304168,0.0055571420088738,0.0044451252979671,Group3
IMIDACLOPRIDANDLB-IMID3,True,GOOD: Fit quality passed,1.89266,1.9418333333333335,,,,0.9955670339706746,0.2054240521398896,0.9264873008192444,74.24794388888888,298,1.8046829440313723,0.0037072528319067,0.0660543491053092,0.0006119851560995,1.8832425750655415,0.1309605309954312,0.9955670339706746,0.0366892827109349,0.032164525809535,Group3
IMIDACLOPRIDANDLB-IMID5,True,GOOD: Fit quality passed,1.6998333333333333,1.7405333333333333,,,,0.9969305087372226,0.2479823674701702,0.8555802505748807,55.99843944444445,225,1.633518588401402,0.0040508380685831,0.0625528247982737,0.0005351896151507,0.8631706163360804,0.1115162177039455,0.9969305087372226,0.0275187615324943,0.021048622355721,Group3
IMIDACLOPRIDANDLB-IMID8,True,GOOD: Fit quality passed,1.8665533333333328,1.9151999999999996,,,,0.9698285772603218,0.6379664243592775,2.5055773701432296,59.99832944444445,241,1.760301025412097,0.0112301295097812,0.0675765519568519,0.0016931827933539,4.8623012277637424e-14,0.3329605331402328,0.9698285772603218,0.0877312599021997,0.0608178879880882,Group3
H2O-IMID2,True,GOOD: Fit quality passed,0.1985266666666666,0.2218333333333333,,,,0.9829285597733,0.4284086304319896,1.7993424983538155,61.99827527777778,249,0.1999249206061999,0.0008564956142612,0.0078440537051983,0.0001411413919113,5.36230352846654e-16,0.2361691778737128,0.9829285597733,0.0072027206257019,0.0063199299842084,Group3
H2O-IMID3,False,BAD: Low R²: -275.822 < 0.95; High A error: 245.8% > 20.0%; High mu error: 70.4% > 20.0%,0.0015399999999999,0.0446333333333333,,,,-275.8218007504995,245.81476714203544,70.43875660592974,6.749783055555556,28,0.1338999999999998,0.3291459732031852,0.0087806414213022,0.0061849746391905,2.953280263149734e-13,3.8370875978115806,-275.8218007504995,0.0196269056549571,0.016645523161472,Group3
H2O-IMID5,False,BAD: Low R²: 0.945 < 0.95,0.0185999999999999,0.0185999999999999,,,,0.9454418012017188,1.802669558900878,5.571652669497562,29.249170555555555,110,0.0132833006274514,0.0002394540168283,0.0010000000027641,5.571652684898582e-05,3.054332218549037,0.3624255576597011,0.9454418012017188,0.0010292343514636,0.0007859769319256,Group3
H2O-IMID8,True,GOOD: Fit quality passed,0.1358333333333333,0.1366333333333333,,,,0.9920311611542076,0.4796487372441379,2.324792798479174,25.249283055555555,102,0.1264348769516219,0.0006064432907346,0.0151014628194212,0.0003510777200909,1.2429362110241735,0.1013838445062453,0.9920311611542076,0.0036701159359176,0.0032550151282265,Group3
H2O-LCY01,False,BAD: Fit failed - Initial guess is outside of provided bounds,0.0059266666666666,0.0078333333333333,,,,0.0,inf,inf,3.7498694444444447,16,,,,,,,,,,Group3
H2O-LCY2,False,BAD: Low R²: -2.827 < 0.95; High mu error: 82.2% > 20.0%,0.0049133333333333,0.0336,,,,-2.826836594260835,2.1945907223852497,82.24538742610291,13.749595833333332,56,0.0293877135292716,0.0006449400346345,0.1680757163760635,0.1382345241026913,1.202557536299877e-16,0.0577850988949709,-2.826836594260835,0.0046069483200505,0.002375153593564,Group3
PERMETHRIN-PERM4,True,GOOD: Fit quality passed,0.1787333333333333,0.1787333333333333,,,,0.9901744755808412,0.456754626942057,1.4863473029320025,84.74769055555555,321,0.1548300031602933,0.0007071932033291,0.0044617949163284,6.631776840120491e-05,12.826261425052506,0.254552708292117,0.9901744755808412,0.0054376824214704,0.0044841816394675,Group4
PERMETHRIN-CYPERM2,False,BAD: Fit failed - Each lower bound must be strictly less than each upper bound.,0.0,0.0,,,,0.0,inf,inf,2.499902777777778,11,,,,,,,,,,Group4
PERMETHRIN-PERM7,True,GOOD: Fit quality passed,0.2114666666666666,0.2114666666666666,,,,0.9984502829946168,0.6330027366248002,0.9469307382111216,40.49888083333333,144,0.2082962618963073,0.0013185210380907,0.0108307297512341,0.000102559509187,14.93796069463204,0.0791634480572254,0.9984502829946168,0.0028626594845158,0.0020736224011821,Group4
PERMETHRIN-CISPERM1,False,BAD: Fit failed - Each lower bound must be strictly less than each upper bound.,0.0,0.0,,,,0.0,inf,inf,2.499902777777778,11,,,,,,,,,,Group4
LAMBDACYHALOTHRIN-LCY3,True,GOOD: Fit quality passed,0.0595666666666666,0.0595666666666666,,,,0.9503270811564,1.776095770120968,2.993771097629155,91.99749583333332,350,0.049802426082264,0.0008845387830647,0.001,2.993771097629156e-05,21.674915695258036,0.6606712727247261,0.9503270811564,0.0035953407031781,0.00279783573651,Group4
LAMBDACYHALOTHRINANDLB-LCY3,True,GOOD: Fit quality passed,1.6259400000000004,1.666966666666667,,,,0.975099468795832,0.5656663399659733,2.465015908005339,61.24832083333333,246,1.3741738582916114,0.0077732389689673,0.0591466882064765,0.0014579752733479,1.5889701123142506,0.2950102621310424,0.975099468795832,0.0679608417092351,0.0593442445049497,Group4
PERMETHRINANDLB-PERM4,True,GOOD: Fit quality passed,1.8153933333333336,1.834266666666667,,,,0.9905890355119474,0.6806221633048584,2.7182849881002276,23.2493475,94,1.6435574218450444,0.0111864160797192,0.1855256378004997,0.0050431155614081,1.860685104907152,0.1224393248011178,0.9905890355119474,0.0553363837361635,0.0402475844057786,Group4
PERMETHRINANDLB-CYPERM2,True,GOOD: Fit quality passed,0.6676133333333334,0.6882,,,,0.9990381162165972,0.5468221504416121,0.4950022921977198,87.74761055555555,333,0.8041592063306685,0.0043973206650315,0.0205643171346541,0.0001017938411913,45.79121354492714,0.0785646725439057,0.9990381162165972,0.0076362737782001,0.0051966955030864,Group4
PERMETHRINANDLB-PERM7,True,GOOD: Fit quality passed,1.79532,1.8464,,,,0.9923635267272992,0.586404013141519,2.237237105817299,21.999378888888888,89,1.6665298074760166,0.0097725976712389,0.1775425179757322,0.0039720470907554,0.5234042567563832,0.1062448650901729,0.9923635267272992,0.0454802186357472,0.033336112975332,Group4
PERMETHRINANDLB-CISPERM1,True,GOOD: Fit quality passed,0.3441733333333334,0.3452666666666667,,,,0.9770769605308124,10.590206609347392,4.02016840880629,94.99742027777778,381,0.8395899698010163,0.088914312473285,0.0114967363365982,0.0004621881622476,64.45183400046962,0.9662069617457888,0.9770769605308124,0.0143807591795658,0.0101734153939983,Group4
LB-PERM4,True,GOOD: Fit quality passed,1.8326733333333345,1.8854000000000009,,,,0.9832568091731612,0.8586069886915799,5.007744982794944,17.499499999999998,71,1.6619152490575029,0.0142693204745387,0.3750125473330118,0.0187796720239204,1.9912184757189,0.1176804748861084,0.9832568091731612,0.0779681237669892,0.0677792715244761,Group4
LB-CYPERM2,True,GOOD: Fit quality passed,0.10824,0.1436,,,,0.9864063280631912,0.8318391311041374,2.6404680664361675,24.749306944444445,93,0.1436507640239609,0.0011949432672813,0.0115788927290299,0.0003057369649569,0.9449449765809014,0.1630024370306741,0.9864063280631912,0.0045620939014693,0.0030142818233066,Group4
LB-PERM7,True,GOOD: Fit quality passed,1.839226666666667,1.8726333333333336,,,,0.9827189265383636,0.8423805316750136,4.549817126211475,17.249505555555555,70,1.6740676617722678,0.0141020200698366,0.3350806216994307,0.0152455555126965,1.204136994487717,0.1197112623063191,0.9827189265383636,0.0748208437560127,0.064276794104676,Group4
LB-LCY3,True,GOOD: Fit quality passed,1.1369466666666663,1.1803,,,,0.9917895766177226,1.7453187597672937,1.230081458690816,47.24869972222222,190,1.4998748586653057,0.0261775972813187,0.0332845751725924,0.000409427387802,3.644429140657988,0.2174606892150248,0.9917895766177226,0.0347757305242698,0.0299442296506381,Group4
LB-CISPERM1,False,BAD: Low R²: 0.788 < 0.95; High A error: 68.7% > 20.0%; High mu error: 24.8% > 20.0%,0.0193466666666667,0.0331333333333333,,,,0.7875802427965332,68.71079666607702,24.7563670853384,13.999589444444444,54,0.0941999999999996,0.0647255704594443,0.002377936122773,0.0005886905956085,1.1264153216233629e-13,3.056650598603546,0.7875802427965332,0.0027216647576257,0.0021591829948547,Group4
